ticker,company_name,added_date,removed_date
AAL,,2014-12-22,2020-04-20
AAPL,Apple Inc.,,
ABNB,Airbnb,2021-12-20,
ADBE,Adobe Inc.,,
ADI,Analog Devices,2012-12-24,
ADP,Automatic Data Processing,2008-12-22,
ADSK,Autodesk,,
AEOS,,,2007-03-08
AEP,American Electric Power,2020-12-21,
AKAM,,2010-12-20,2009-12-21
ALGN,,2017-10-23,2023-12-18
ALTR,,,2015-10-07
ALXN,,2011-04-04,2021-07-21
AMAT,Applied Materials,,
AMD,Advanced Micro Devices,2018-12-24,
AMGN,Amgen,,
AMLN,,,2008-12-22
AMZN,Amazon,,
ANSS,,2019-12-23,2025-07-17
APCC,,,2007-02-14
APOL,,,2012-12-24
APP,AppLovin,2024-11-18,
ARM,Arm Holdings,2024-06-24,
ASML,ASML Holding,2017-12-18,
ATVI,,,2023-07-17
AVGO,Broadcom,2011-12-19,
AXON,Axon Enterprise,2024-12-23,
AZN,AstraZeneca,2022-02-22,
BATRA,,2016-04-18,2016-06-20
BATRK,,2016-04-18,2016-06-20
BBBY,,,2016-12-19
BEAS,,,2008-04-30
BIDU,,2007-12-04,2022-12-19
BIIB,Biogen,,
BKNG,Booking Holdings,,
BKR,Baker Hughes,2022-12-19,
BMC,,2009-12-21,2013-07-25
BMET,,,2007-07-12
BMRN,,2015-07-27,2020-12-21
BRCM,,,2015-11-11
CA,,2008-05-19,2018-11-05
CCEP,Coca-Cola Europacific Partners,2023-12-18,
CDNS,Cadence Design Systems,2017-12-18,
CDW,CDW Corporation,2019-12-23,
CDWC,,,2007-10-08
CEG,Constellation Energy,2022-02-02,
CELG,,,2019-11-21
CEPH,,2007-06-01,2011-07-15
CERN,,2009-07-17,2021-12-20
CHKP,,,2021-12-20
CHRW,,,2015-12-21
CHTR,Charter Communications,2013-07-25,
CKFR,,,2007-12-04
CMCSA,Comcast,,
CMVT,,,2007-02-01
COST,Costco,,
CPRT,Copart,2019-12-23,
CRWD,CrowdStrike,2021-08-26,
CSCO,Cisco,,
CSGP,CoStar Group,2019-12-23,
CSX,CSX Corporation,2016-02-16,
CTAS,Cintas,2016-12-19,
CTRP,,2010-12-20,2012-07-23
CTRX,,2012-12-24,2015-07-24
CTSH,Cognizant,,
CTXS,,,2020-12-21
DASH,DoorDash,2023-12-18,
DDOG,Datadog,2021-12-20,
DELL,,,2013-10-29
DISCA,,2012-12-24,2008-12-22
DISCK,,,2017-12-18
DISH,,2013-12-23,2010-12-20
DLTR,,2010-12-20,2024-11-18
DOCU,,2020-06-22,2022-12-19
DTV,,2008-04-30,2015-07-24
DXCM,DexCom,2020-04-20,
EA,Electronic Arts,2014-12-22,
EBAY,,,2023-12-18
ENPH,,2022-11-21,2023-12-18
EQIX,,2012-12-24,2015-03-23
ERIC,,,2007-12-24
ESRX,,,2018-12-24
EXC,Exelon,2019-11-21,
EXPD,,,2015-12-21
EXPE,,2015-12-21,2014-12-22
FANG,Diamondback Energy,2022-12-19,
FAST,Fastenal,,
FFIV,,2010-12-20,2014-12-22
FI,,,2023-06-07
FLEX,,,2012-12-24
FLIR,,2008-07-21,2011-12-19
FMCN,,2007-12-24,2009-01-20
FOSL,,2011-12-19,2013-12-23
FOX,,2014-12-22,2021-12-20
FOXA,,2019-03-19,2021-12-20
FSLR,,2008-12-22,2012-04-23
FTNT,Fortinet,2021-12-20,
FWLT,,2007-07-12,2010-12-20
GEHC,GE HealthCare,2023-06-07,
GENZ,,,2011-04-04
GFS,GlobalFoundries,2022-12-19,
GILD,Gilead Sciences,,
GMCR,,2011-05-27,2012-12-24
GOLD,,2011-12-19,2013-11-18
GOOG,Alphabet Inc. (Class C),2014-04-03,
GOOGL,Alphabet Inc. (Class A),,
GRMN,,,2015-12-21
HANS,,2007-12-24,2009-12-21
HAS,,2016-12-19,2019-12-23
HOLX,,2007-12-24,2010-12-20
